ename,ccode,cnumber,cname,credit_hours,prereq_1,prereq_2,prereq_3
Mathematics,MATH,401,Advanced Engineering Mathematics,3,MATH 308,,
Mathematics,MATH,407,Complex Variables,3,MATH 221; MATH 251; MATH 253,,
Mathematics,MATH,409,Analysis on the Real Line,3,MATH 253,,
Mathematics,MATH,410,Multivariate Real Analysis,3,MATH 304; MATH 323,MATH 409,
Mathematics,MATH,412,Theory of Partial Differential Equations,3,MATH 308,,
Mathematics,MATH,414,Fourier Series and Wavelets,3,MATH 304; MATH 309; MATH 311; MATH 323,,
Mathematics,MATH,415,Modern Algebra I,3,MATH 300,MATH 304; MATH 309; MATH 311; MATH 323,
Mathematics,MATH,416,Modern Algebra II,3,MATH 415,,
Mathematics,MATH,417,Numerical Methods,3,MATH 304; MATH 309; MATH 311; MATH 323,MATH 308,
Mathematics,MATH,419,Applications of Actuarial Science,3,MATH 411; STAT 414,,
Mathematics,MATH,420,Application of Actuarial Science II,3,MATH 325,,
Mathematics,MATH,423,Linear Algebra II,3,MATH 300; CSCE 222; ECEN 222,MATH 304; MATH 323,
Mathematics,MATH,424,Probability and Computing,3,MATH 304; MATH 309; MATH 311; MATH 323,MATH 411 or STAT 414,
Mathematics,MATH,425,The Mathematics of Contingent Claims,3,MATH 308,MATH 411; STAT 211; STAT 414,
Mathematics,MATH,427,Introduction to Number Theory,3,MATH 300,MATH 304; MATH 323,
Mathematics,MATH,431,Structures and Methods of Combinatorics,3,MATH 300; MATH 302,,
Mathematics,MATH,433,Applied Algebra,3,MATH 300; MATH 302,MATH 304 or MATH 323,
Mathematics,MATH,436,Introduction to Topology,3,MATH 409,,
Mathematics,MATH,437,Principles of Numerical Analysis,3,MATH 304; MATH 309; MATH 311; MATH 323,MATH 308; MATH 409,
Mathematics,MATH,439,Differential Geometry of Curves and Surfaces,3,MATH 308,MATH 304; MATH 323,
Mathematics,MATH,442,Mathematical Modeling,3,MATH 304; MATH 309; MATH 311; MATH 323,MATH 308 ,
Mathematics,MATH,446,Analysis on Metric Spaces,3,MATH 304; MATH 309; MATH 311; MATH 323,,
Mathematics,MATH,447,Integration and Measure Theory,3,MATH 304; MATH 309; MATH 311; MATH 323,MATH 446; MATH 410,MATH 436
Mathematics,MATH,460,Tensors and General Relativity,3,MATH 308,PHYS 331; MATH 323; MATH 311,
Mathematics,MATH,467,Modern Geometry,3,MATH 304; MATH 309; MATH 311; MATH 300; MATH 323,,
Mathematics,MATH,470,Communications and Cryptography,3,MATH 304; MATH 309; MATH 311; MATH 323,CSCE 110; CSCE 111; CSCE 120; CSCE 206; ENGR 102; ENGR 112,
Mathematics,MATH,471,Communications and Cryptography II,3,MATH 470,,
Mathematics,MATH,472,Elliptic Curve Cryptography,3,MATH 415; MATH 433.,,
Mathematics,MATH,478,Topological Data Analysis,3,MATH 304; MATH 309; MATH 311; MATH 323,,
Mathematics,MATH,482,Research Seminar,3,MATH 409; MATH 415,,
Mathematics,MATH,485,Directed Studies,3,,,
Mathematics,MATH,489,Special Topics in...,3,,,
Mathematics,MATH,490,The Putnam Challenge,3,,,
Mathematics,MATH,491,Research,3,,,
Business,ACCT,209,Survey of Accounting Principles,3,,,
Business,FINC,409,Survey of Finance Principles 1,3,,,
Business,ISTM,209,Business Information Systems Concepts 2,3,,,
Business,MGMT,209,Principles of Business Regulations and Law,3,,,
Business,MGMT,309,Survey of Management 1,3,,,
Business,MGMT,409,Principles of Marketing 1,3,,,
Art,ARTS,356,Motion Graphics,3,ARTS 104; VIST 105,ARTS 303,
Art,ARTS,403,Graphic Design III,3,ARTS 303,ARTS 304,
Art,ARTS,435,Digital Sculpture,3,ARTS 231,VIST 106,
Art,ARTS,445,Byzantine Art and Architecture,3,ARTS 149; ARTS 150; ARTS 349; ARCH 249; ARCH 250; ARCH 350,,
Art,ARTS,455,Experimental Typography,3,ARTS 255,ARTS 303,ARTS 304
Art,ARTS,485,Directed Studies,4,,,
Art,ARTS,489,Special Topics in...,4,,,
Cyber Security,CYBR,402,Cyber Security Law and Policy,3,,,
Cyber Security,CYBR,403,Cyber Security Risk,3,CYBR 201; CSCE 201; CSCE 221,,
Cyber Security,CYBR,405,Digital Forensics,3,,,
Cyber Security,CYBR,491,Research,3,,,
