track_name,course_code,course_number
Algorithms and Theory,CSCE,411
Algorithms and Theory,CSCE,433
Algorithms and Theory,CSCE,440
Algorithms and Theory,CSCE,442
Systems,CSCE,410
Systems,CSCE,412
Systems,CSCE,416
Systems,CSCE,456
Systems,CSCE,461
Systems,CSCE,462
Systems,CSCE,463
Systems,CSCE,464
Systems,CSCE,465
Systems,CSCE,469
Software,CSCE,429
Software,CSCE,430
Software,CSCE,431
Software,CSCE,434
Software,CSCE,435
Software,CSCE,438
Software,CSCE,451
Information and Intelligent Systems,CSCE,310
Information and Intelligent Systems,CSCE,320
Information and Intelligent Systems,CSCE,420
Information and Intelligent Systems,CSCE,421
Information and Intelligent Systems,CSCE,436
Information and Intelligent Systems,CSCE,441
Information and Intelligent Systems,CSCE,443
Information and Intelligent Systems,CSCE,444
Information and Intelligent Systems,CSCE,445
Information and Intelligent Systems,CSCE,446
Information and Intelligent Systems,CSCE,447
Information and Intelligent Systems,CSCE,452
Information and Intelligent Systems,CSCE,470
